,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,dominant_topic
222859879,0.0,0.0,0.0,0.21,0.05,0.0,0.21,0.01,0.0,0.07,0.0,0.01,0.41,0.0,0.02,12
222868513,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0
222879323,0.0,0.0,0.02,0.06,0.01,0.0,0.26,0.0,0.29,0.0,0.29,0.0,0.0,0.0,0.06,8
222882549,0.0,0.0,0.0,0.0,0.05,0.0,0.12,0.0,0.24,0.02,0.0,0.01,0.47,0.0,0.09,12
222894564,0.0,0.0,0.0,0.01,0.03,0.07,0.2,0.01,0.16,0.06,0.0,0.28,0.0,0.0,0.2,11
222915188,0.0,0.0,0.0,0.09,0.37,0.0,0.22,0.0,0.05,0.0,0.03,0.01,0.21,0.0,0.01,4
222958508,0.0,0.0,0.0,0.0,0.01,0.0,0.08,0.0,0.12,0.0,0.0,0.0,0.02,0.03,0.75,14
222986809,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.48,0.16,0.0,0.01,0.0,0.0,0.0,0.0,7
222990908,0.0,0.03,0.0,0.0,0.06,0.0,0.22,0.0,0.13,0.0,0.0,0.01,0.5,0.0,0.05,12
223021942,0.0,0.0,0.0,0.02,0.08,0.0,0.29,0.36,0.11,0.0,0.0,0.0,0.03,0.05,0.06,7
223053747,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.01,0.49,0.0,0.25,0.01,0.0,0.0,0.07,8
223090463,0.01,0.02,0.0,0.0,0.14,0.0,0.15,0.0,0.29,0.01,0.03,0.02,0.08,0.05,0.2,8
223114500,0.0,0.0,0.0,0.12,0.01,0.0,0.43,0.06,0.03,0.0,0.01,0.0,0.0,0.06,0.29,6
223115048,0.0,0.0,0.0,0.02,0.03,0.01,0.15,0.0,0.42,0.04,0.09,0.07,0.08,0.0,0.09,8
223154028,0.0,0.0,0.0,0.09,0.02,0.0,0.17,0.23,0.19,0.26,0.02,0.01,0.0,0.0,0.01,9
223159630,0.0,0.02,0.0,0.0,0.0,0.01,0.24,0.0,0.2,0.0,0.01,0.0,0.4,0.0,0.13,12
223181507,0.0,0.0,0.0,0.0,0.0,0.05,0.26,0.0,0.03,0.0,0.0,0.0,0.63,0.0,0.03,12
